id,name,category,ingredient_ids,steps
1,Greek Salad,Lunch,"4,5,6,3","Chop ingredients, drizzle oil, sprinkle salt, mix well."
2,Chicken Pasta,Dinner,"7,8,9,3","Boil pasta, cook chicken, mix with tomato sauce and season with salt."
3,Pancakes,Breakfast,"1,2,3","Mix eggs and milk, add a pinch of salt, pour batter on pan, flip when golden."
4,Vegetable Soup,Dinner,"4,9,3","Boil vegetables, add tomato sauce and salt, simmer until cooked."
5,Avocado Toast,Breakfast,"6,3","Toast bread, add mashed avocado on top, drizzle olive oil, sprinkle salt."
6,Grilled Chicken,Lunch,"7,6,3","Marinate chicken with olive oil and salt, grill for 20 minutes."
7,Fruit Smoothie,Snack,"2,10,11,12","Blend fruits with milk, yogurt, banana, and honey. Serve cold."
8,Chocolate Cake,Dessert,"1,2,3","Mix ingredients, bake at 180°C for 30 minutes."
9,Caesar Salad,Lunch,"4,7,5,6,3","Mix lettuce, grilled chicken, feta, croutons, add olive oil and salt."
10,Fruit Salad,Breakfast,"10,11","Cut fruits, mix them together."
11,Spagetti,dinner,8,"Take pasta, boil."
